CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Bristol,"1 Main St, Bristol, VT 05443",Main Street/VT 116,"New sidewalk on east side, curb on west side. Upgraded lighting. Realized concurrent with repaving project",1,2020,"$327,159","DTF 2018 ($100,000)",Bristol CORE,https://bristolvt.org/paving-lighting-sidewalk-project/?fbclid=IwZXh0bgNhZW0CMTAAAR1y70Fz1TI489KUp5zLmJXZqncggHTQ5wcbpjWzbAqwus6AZlKOGLaQDpQ_aem_JghaTUd-1-xccx4LH8q7KA,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V187,,,,,,,,,,,,,,,,
Middlebury,,,EZ Trip microtransit,,2024,,"MTI 2024 ($10,914)",Tri Valley Transit,https://www.trivalleytransit.org/ez-trip-middlebury/,,,,,,,,,,,,,,,,,
Middlebury,,Merchants Row,Pedestrian improvements as part of rail tunnel replacement and repaving,,2021,,,"VTrans, Town of Middlebury",https://vtrans.vermont.gov/projects/middlebury,https://dacollinscompanies.com/experience/middlebury-bridge-and-rail-project/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=13g542,,,,,,,,,,,,,,,
Middlebury,"20 VT-30, Middlebury, VT 05753",Printers Alley,Sidewalk connectivity between Main Street and Marble Works,1,2021,,,VTrans,,,,,,,,,,,,,,,,,,
Middlebury,"141 Weybridge St, Middlebury, VT 05753",Seymour St. & Webridge St.,Installation of flashing beacons,1,2019,,,ACRPC,,,,,,,,,,,,,,,,,,
Middlebury,"101 Seymour St, Middlebury, VT 05753",Seymour St.,Sidewalk realignment and extension,1,2021,,,VTrans,,,,,,,,,,,,,,,,,,
Middlebury-Weybridge,,Seymour St.,sidewalk,1,2020,"$735,455",TKTK,ACRPC,,,,,,,,,,,,,,,,,,
Vergennes,"210 Main St, Vergennes, VT 05491",Main Street/VT 22A,"Sidewalk extension, new sidewalks and crosswalks",1,2023,"$446,220","BP 2019 ($202,000)",ACRPC,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F452,,,,,,,,,,,,,,,,,
Vergennes,,Main Street/VT 22A,"Pedestrian improvements as part of Class 1 paving project, including upgrading sidewalk ramps and crossing infrastructure to comply with ADA",,2020,,,VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V191,,,,,,,,,,,,,,,,,
Vergennes,"179 Main St, Vergennes, VT 05491",Triangle Bike Loop,"Triangle Bike Loop wayfinding signs, part of multi-town bike route using local roads",2,2024,"$23,393","BP 2022 ($11,152)","ACRPC, Local group: Walk-Bike Council of Addison County",https://www.walkbikeaddison.org/triangle_bike_loop,,,,,,,,,,,,,,,,,
Bennington,"23 Orchard Rd, Bennington, VT 05201",From Depot St to Emma Street,"Bennington Rail Trail: multi-use path paved from parking area on Depot Street to intersection with Orchard Road, packed gravel surface path to Emma Street",3,2022,,,,,,,,,,,,,,,,,,,,,
Bennington,"10 Kocher Dr, Bennington, VT 05201",Kocher Drive and East Road,"Willow Park Paths: multi-use path from Aldi/CVS plaza connecting to East Road path, inc new crosswalk",3,2020,,,,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/kocher-drive-mixed-use-path-in-bennington-vt/,,,,,,,,,,,,,,,,
Bennington,"Applegate Housing Inc, 87 Applegate Dr, Bennington, VT 05201",Willowbrook Apartments to Applegate Apartments,"ADA-compliant path connecting Willowbrook + Applegate apartment complexes, allowing pedestrian connection to schools & commercial corridor",3,2021,,STP BP(14)10 & TAP TA17(10),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/applegate-willowbrook-path-in-bennington-vt/,,,,,,,,,,,,,,,,
Bennington,"128 Franklin Ln, Bennington, VT 05201",Franklin Lane,"Street redesign to calm traffic, make more pedestrian friendly, inc a curved driving surface, planters, proximity to pedestrians",1,2022,"$126,000","DTF 2020 ($50,000)",,,,,,,,,,,,,,,,,,,
Manchester,"691 Depot St, Manchester Center, VT 05255",Depot Street,"Reconfiguring street, including new bike lane",2,2019,,,,,,,,,,,,,,,,,,,,,
Manchester,"57 Seminary Ave, Manchester, VT 05254",Burr and Burton Academy,Sidewalk project,1,2023,,,,,,,,,,,,,,,,,,,,,
Rupert,"2824 VT-153, West Rupert, VT 05776",,"Revitalization project, including improving walkability",1,,,,,https://centralvtplanning.org/wp-content/uploads/2021/05/VTPlannersAssoc_2021Awards_PressRelease.pdf,,,,,,,,,,,,,,,,,
Sunderland,"104 Mountain View Rd, Sunderland, VT 05250","Sunderland Hill Rd, from Dunham Rd to Town Office building","Bike/pedestrian lane on steep, winding road",3,2020,"$62,000","BP 2018 ($31,000)",Sunderland Safe Roads Committee,https://sunderlandvt.org/town-government/safe-roads/,,,,,,,,,,,,,,,,,
Burke,"638 VT-114, East Burke, VT 05832","VT 114, East Burke village","modern, 5 foot wide concrete sidewalks",1,2019,,,Town of Burke,https://nvda.net/files/rfp_burke.pdf,,,,,,,,,,,,,,,,,
"Cabot, Walden, Hardwick, Stannard, Greensboro","97 VT-15, West Danville, VT 05873",between West Danville and Morrisville ,"Lamoille Valley Rail Trail: between West Danville and Morrisville, adding to earlier sections",3,2021,VTrans,,,,,,,,,,,,,,,,,,,,
Hardwick,"20 Church St, Hardwick, VT 05843",Church Street,Repaved sidewalk on north side of street to be a safer connection between town's public buildings,1,2022,"$82,000","BP 2021 ($41,000)","Town of Hardwick, Hardwick Pedestrian and Traffic Safety Task Force",https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F104,,,,,,,,,,,,,,,,,
Hardwick,"9 S Main St, Hardwick, VT 05843",Village,Six high visibility crosswalks,1,2024,,,"Town of Hardwick, Hardwick Pedestrian and Traffic Safety Task Force",https://hardwickgazette.org/2024/06/18/new-pedestrian-crosswalks-increase-visibility/,,,,,,,,,,,,,,,,,
Hardwick,"124 S Main St, Hardwick, VT 05843","VT Rt 14, Main St and Wolcott St",Sidewalk ramps and crosswalks upgraded to meet ADA standards during repaving,1,,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19V425,,,,,,,,,,,,,,,,,
St. Johnsbury,"1009 Main St, St Johnsbury, VT 05819",rectangular rapid flashing beacon,rectangular rapid flashing beacon,1,,,,Either town or St Johnsbury Academy (unclear),,,,,,,,,,,,,,,,,,
St. Johnsbury,"1097 Main St, St Johnsbury, VT 05819",rectangular rapid flashing beacon,rectangular rapid flashing beacon,1,,,,Either town or St Johnsbury Academy (unclear),,,,,,,,,,,,,,,,,,
St. Johnsbury,"299 Bay St, St Johnsbury, VT 05819",Bay St and Passumpsic river,Multi-use trail between Bay St and Passumpsic river,3,2019,Town of St Johnsbury,,Town of St Johnsbury,,,,,,,,,,,,,,,,,,
Burlington,"800 Pine St, Burlington, VT 05401",Birchcliff Parkway and Locust St,Champlain Elementary Pedestrian Crossing Improvements,1,2019,"$504,000",BP 2013,Burlington Public Works,,https://www.facebook.com/BTVDPW/posts/busy-weekends-continue-before-the-snow-flies-heres-an-update-from-the-south-endo/10156306161695800/,,,,,,,,,,,,,,,,
Burlington,,Champlain Parkway/Pine Street,"There is a new shared use path along the Champlain Parkway and Pine Street that is heavily used during the farmer's market and other events.   In addition, the new intersections on the Champlain Parkway are pedestrian scrambles with no right on red for cars.  The road is also marked for bikes",,2025,,,Burlington Public Works,https://www.burlingtonvt.gov/CivicAlerts.aspx?AID=20,https://champlainparkway.com/map/,,,,,,,,,,,,,,,,
Burlington,"195 Colchester Ave, Burlington, VT 05401",East Avenue to South Prospect St,"Colchester Avenue Sidepath, phase I & II: Extension & replacement of sidepath with 10' wide concrete bike & pedestrian path on south side of Colchester Avenue",3,2020,"$378,437",BP 2015,"Burlington Public Works, CCRPC",https://www.burlingtonvt.gov/DPW/Colchester-Avenue-Sidepath,,,,,,,,,,,,,,,,,
Burlington,"973 North Ave, Burlington, VT 05408",North Avenue ,"5 new unsignalized crosswalks with flashing beacons at Ward Street, Killarney Drive / Village Green Drive, Poirier Place, Gosse Court, and Green Acres Drive / Cayuga Court",1,2019,,TAP 2015,"Burlington Public Works, CCRPC",,,,,,,,,,,,,,,,,,
Burlington,"126 Gosse Ct, Burlington, VT 05408","Schiffiliti Park, connecting James Avenue to Gosse Court",Shared Use Path by C.P. Smith Elementary School,3,Summer 2024,"$373,160","TAP 2020 ($285,728)",,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F134,https://www.burlingtonvt.gov/construction/projects,,,,,,,,,,,,,,,,
Burlington-South Burlington-Winooski,"149 Church St, Burlington, VT 05401",,"Bike-share program offering electric assist bikes around the Burlington area, operated by Bird",4,2023,,,CATMA,https://catmavt.org/bikeshare/,,,,,,,,,,,,,,,,,
Charlotte-South Burlington,"3120-3476 Ethan Allen Hwy, Charlotte, VT 05445",Rt. 7 resurfacing,"Resurfacing project including installation of bike lanes, sidewalk ramps, crosswalk improvements",3,2023,,,VTrans,Complete Streets: https://app.powerbigov.us/view?r=eyJrIjoiYWRkOTQwZjEtZjFiZi00OGMxLWI2YzYtYmUzYjBjOTRhNjQ4IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9&pageName=ReportSection,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19V439,,,,,,,,,,,,,,,,
Colchester,"1672 W Lakeshore Dr, Colchester, VT 05446","West Lakeshore Drive, from Church Road to Prim Road","4,435 feet of 10' wide separated multi-use path ",3,2019,"$1,069,000","$897,960 in fed and state grants, inc BP and TAP",,,,,,,,,,,,,,,,,,,
Colchester-Essex ,"424-420 VT-15, Colchester, VT 05446",VT Route 15 from Lime Kiln Rd to Susie Wilson Rd,"1.6 miles of 10' wide, paved, separated multi-use path, including new crosswalk near St. Michael's College",3,2022,"$1,613,885",,VTrans,https://vtrans.vermont.gov/projects/essex-colchester-path,,,,,,,,,,,,,,,,,
Colchester-South Hero,"781 Blakely Rd, Colchester, VT 05446",Causeway,Repairs on the causeway,3,2020,$1.8 million,"$1.8 m in federal & state, inc BP",Town of Colchester,https://www.instagram.com/p/CDPAxsHHWo2/,,,,,,,,,,,,,,,,,
Essex ,"70-56 Pinecrest Dr, Essex Junction, VT 05452","Pinecrest Dr, VT-2A to Suffolk Lane",Sidewalk,1,2020,"$357,770","TAP 2015 ($286,218) + BP 2020 ($86,280)",,,,,,,,,,,,,,,,,,,
Essex ,"87 Towers Rd, Essex Junction, VT 05452",Towers Road,Sidewalk,1,2019,"$114,500","BP 2019 ($91,600)",,,,,,,,,,,,,,,,,,,
Essex Junction,"34 Park St, Essex Junction, VT 05452",Park Street to Maple Street and Railroad Street,"Crescent Connector Phase II: federally-funded project to bypass 5 Corners, inc painted 4-ft bike lanes, extended bike lanes on Maple St, 2 new signalized pedestrian crossings, and new at-grade rail crossing for all road users",3,2024,,,City of Essex Junction,https://www.essexjunction.org/departments/community-development/projects,,,,,,,,,,,,,,,,,
Essex Junction,"58 Lincoln St, Essex Junction, VT 05452",Lincoln & North streets,Rapid flashing beacon  at crosswalk,1,2023,,,,,,,,,,,,,,,,,,,,,
Essex Junction,"66 Main St, Essex Junction, VT 05452",Main & Pleasant streets,Rapid flashing beacon  at crosswalk,1,2021,,,Essex Jct Bike Walk Advisory Committee,,,,,,,,,,,,,,,,,,
Hinesburg,"10042-10206 Rte 116, Hinesburg, VT 05461",VT Rt. 116 from Commerce St to Riggs Rd,Village North sidewalk from Commerce St to Riggs Road,1,2019,,,,,,,,,,,,,,,,,,,,,
Hinesburg,"10888 Rte 116, Hinesburg, VT 05461",VT Rt. 116 from Hinesburg Community School to Friendship Lane,Installation of new Village South sidewalk,1,2023,,BP 2016,"VTrans, Town of Hinesburg",https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=16F157,,,,,,,,,,,,,,,,,
Hinesburg,"87 Kelleys Field Rd, Hinesburg, VT 05461
","87 Kelleys Field Rd, Hinesburg, VT 05461
","Rapid flashing beacon at crosswalk on Rt 117 by Kelley's Field, affordable living community for older adults",1,2023,,AARP Community Challenge Grant,Cathedral Square,,,,,,,,,,,,,,,,,,
Jericho,"275 Browns Trce, Jericho, VT 05465",Browns Trace from Pratt Road to Lee River Road,Multi-modal path,3,,,,,,,,,,,,,,,,,,,,,,
Milton,"42-28 Cherry St, Milton, VT 05468",Cherry St,Sidewalk,1,2021,,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,,,,,,,,,,,,,,,,,
Milton,"47 Bombardier Rd, Milton, VT 05468",Bombardier Road from Middle Road to Town Fire Station,new sidewalk,1,2022,,,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,,,,,,,,,,,,,,,
Milton,"51-1 Middle Rd, Colchester, VT 05446","Bombadier, Herrick, Middle, Centre sidewalks ","Crosswalk safety improvements, inc ADA detectable warning strips & new striping",1,2021,,Some state funding,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,,,,,,,,,,,,,,,
Milton,"104-92 Main St, Milton, VT 05468",Main St from Railroad St to East Road,Gravel Path from Railroad St to East Road,1,2020,,,Town of Milton,,,,,,,,,,,,,,,,,,
Milton,"22-4 McMullen Rd, Milton, VT 05468",McMullen Road,Sidewalk improvement,1,,,BP 2013,Town of Milton,https://www.dlhce.com/project-experience-municipal-engineering,,,,,,,,,,,,,,,,,
Milton,"470 US-7, Milton, VT 05468",US7 Nancy Drive to Haydenberry Drive,Sidewalk Gaps Project: 2 miles of sidewalk filling in gaps in town's previous sidewalk infrastructure,1,2020,,,Town of Milton,,,,,,,,,,,,,,,,,,
Shelburne,"5420 Shelburne Rd, Shelburne, VT 05482","US7, from town office to Church Street","Rapid flashing beacon at crosswalk, spearheaded by Eagle Scout",1,2019,,,,,,,,,,,,,,,,,,,,,
Shelburne,"209 Marsett Rd, Shelburne, VT 05482",intersection of Marsett Rd & Maplewood Dr,New crosswalk. It's one of a number of pedestrian improvements led by community members around Shelburne Village,1,2020,,,Shelburne Village Pedestrian Safety Group,https://www.localmotion.org/projects_shelburne_village_pedestrian_safety_group,,,,,,,,,,,,,,,,,
South Burlington,"200 Allen Rd, South Burlington, VT 05403",Allen Road between Baycrest Dr & Spear St,"800' of 10'-wide paved shared use path, closing gap in path network, inc bike boxes at Spear St traffic light",3,2021,,,"South Burlington Bike/Ped Committee, South Burlington Pennies for Paths initiative",https://www.southburlingtonvt.gov/residents/upper_allen_road_shared_use_path.php,,,,,,,,,,,,,,,,,
South Burlington,"1600 Marshall Ave, Williston, VT 05495",Kimball/Marshall Avenue over Muddy Brook,"Bridge & culvert replacement project, including rec path for pedestrians & bikes",3,2021,,TAP 2020,,https://sburlstormwater.com/muddy-brook-culvert-replacement/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F200,,,,,,,,,,,,,,,,
South Burlington,"25-73 Kennedy Dr, South Burlington, VT 05403",Kennedy Dr at Twin Oaks Terrace,"Crosswalk improvements, inc flashing beacons",1,2023,,"BP 2021, Pennies for Paths",South Burlington Bike/Ped Committee,,,,,,,,,,,,,,,,,,
