COUNTY,LAT,LON,MUNICIPALITY (alphabetical by county),ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT FOR TEXT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR GROUP (where available),"RELEVANT LINKS, FACT SHEETS (list all in subsequent columns)",X.1,walk_score,walk_description
Addison,44.05737625491821,-73.140880910925,Bristol,"1 Main St, Bristol, VT 05443",Main Street/VT 116,"New sidewalk on east side, curb on west side. Upgraded lighting. Realized concurrent with repaving project",1,2020,"$327,159","DTF 2018 ($100,000)",Bristol CORE,https://bristolvt.org/paving-lighting-sidewalk-project/?fbclid=IwZXh0bgNhZW0CMTAAAR1y70Fz1TI489KUp5zLmJXZqncggHTQ5wcbpjWzbAqwus6AZlKOGLaQDpQ_aem_JghaTUd-1-xccx4LH8q7KA,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V187,0,not found
Addison,44.05737625491821,-73.140880910925,Middlebury,"20 VT-30, Middlebury, VT 05753",Printers Alley,Sidewalk connectivity between Main Street and Marble Works,1,2021,,,VTrans,,,0,not found
Addison,44.05737625491821,-73.140880910925,Middlebury,"141 Weybridge St, Middlebury, VT 05753",Seymour St. & Webridge St.,Installation of flashing beacons,1,2019,,,ACRPC,,,0,not found
Addison ,44.0285618,-73.1491036,Middlebury,"101 Seymour St, Middlebury, VT 05753",Seymour St.,Sidewalk realignment and extension,1,2021,,,VTrans,,,1,Car-Dependent
Addison,44.05737625491821,-73.140880910925,Middlebury-Weybridge,,Seymour St.,sidewalk,1,2020,"$735,455",TKTK,ACRPC,,,0,not found
Addison,44.05737625491821,-73.140880910925,Vergennes,"210 Main St, Vergennes, VT 05491",Main Street/VT 22A,"Sidewalk extension, new sidewalks and crosswalks",1,2023,"$446,220","BP 2019 ($202,000)",ACRPC,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F452,,0,not found
Addison ,44.0285618,-73.1491036,Vergennes,"179 Main St, Vergennes, VT 05491",Triangle Bike Loop,"Triangle Bike Loop wayfinding signs, part of multi-town bike route using local roads",2,2024,"$23,393","BP 2022 ($11,152)","ACRPC, Local group: Walk-Bike Council of Addison County",https://www.walkbikeaddison.org/triangle_bike_loop,,1,Car-Dependent
Bennington,42.903147,-73.207031,Bennington,"Applegate Housing Inc, 87 Applegate Dr, Bennington, VT 05201",Willowbrook Apartments to Applegate Apartments,"ADA-compliant path connecting Willowbrook + Applegate apartment complexes, allowing pedestrian connection to schools & commercial corridor",3,2021,,STP BP(14)10 & TAP TA17(10),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,,31,Car-Dependent
Bennington,42.8779774,-73.1994478,Bennington,"128 Franklin Ln, Bennington, VT 05201",Franklin Lane,"Street redesign to calm traffic, make more pedestrian friendly, inc a curved driving surface, planters, proximity to pedestrians",1,2022,"$126,000","DTF 2020 ($50,000)",,,,81,Very Walkable
Bennington,43.1724864,-73.0447906,Manchester,"691 Depot St, Manchester Center, VT 05255",Depot Street,"Reconfiguring street, including new bike lane",2,2019,,,,,,57,Somewhat Walkable
Bennington,43.1645751,-73.0797475,Manchester,"57 Seminary Ave, Manchester, VT 05254",Burr and Burton Academy,Sidewalk project,1,2023,,,,,,42,Car-Dependent
Bennington,43.245305,-73.239421,Rupert,"2824 VT-153, West Rupert, VT 05776",,"Revitalization project, including improving walkability",1,,,,,https://centralvtplanning.org/wp-content/uploads/2021/05/VTPlannersAssoc_2021Awards_PressRelease.pdf,,6,Car-Dependent
Bennington,43.097918,-73.200412,Sunderland,"104 Mountain View Rd, Sunderland, VT 05250","Sunderland Hill Rd, from Dunham Rd to Town Office building","Bike/pedestrian lane on steep, winding road",3,2020,"$62,000","BP 2018 ($31,000)",Sunderland Safe Roads Committee,https://sunderlandvt.org/town-government/safe-roads/,,8,Car-Dependent
Bennington,42.8976921,-73.2035259,Bennington,"23 Orchard Rd, Bennington, VT 05201",From Depot St to Emma Street,"Bennington Rail Trail: multi-use path paved from parking area on Depot Street to intersection with Orchard Road, packed gravel surface path to Emma Street",3,2022,,,,,,53,Somewhat Walkable
Bennington,42.8939634,-73.1936358,Bennington,"10 Kocher Dr, Bennington, VT 05201",Kocher Drive and East Road,"Willow Park Paths: multi-use path from Aldi/CVS plaza connecting to East Road path, inc new crosswalk",3,2020,,,,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,,37,Car-Dependent
Caledonia,44.5884297,-71.9414088,Burke,"638 VT-114, East Burke, VT 05832","VT 114, East Burke village","modern, 5 foot wide concrete sidewalks",1,2019,,,Town of Burke,https://nvda.net/files/rfp_burke.pdf,,42,Car-Dependent
Caledonia,44.4096005,-72.1963356,"Cabot, Walden, Hardwick, Stannard, Greensboro","97 VT-15, West Danville, VT 05873",between West Danville and Morrisville ,"Lamoille Valley Rail Trail: between West Danville and Morrisville, adding to earlier sections",3,2021,VTrans,,,,,18,Car-Dependent
Caledonia,44.505621,-72.3647102,Hardwick,"20 Church St, Hardwick, VT 05843",Church Street,Repaved sidewalk on north side of street to be a safer connection between town's public buildings,1,2022,"$82,000","BP 2021 ($41,000)","Town of Hardwick, Hardwick Pedestrian and Traffic Safety Task Force",https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F104,,57,Somewhat Walkable
Caledonia,44.5043059,-72.3662021,Hardwick,"9 S Main St, Hardwick, VT 05843",Village,Six high visibility crosswalks,1,2024,,,"Town of Hardwick, Hardwick Pedestrian and Traffic Safety Task Force",https://hardwickgazette.org/2024/06/18/new-pedestrian-crosswalks-increase-visibility/,,58,Somewhat Walkable
Caledonia,44.5036672,-72.3687633,Hardwick,"124 S Main St, Hardwick, VT 05843","VT Rt 14, Main St and Wolcott St",Sidewalk ramps and crosswalks upgraded to meet ADA standards during repaving,1,,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19V425,,59,Somewhat Walkable
Caledonia,44.4161308,-72.019821,St. Johnsbury,"1009 Main St, St Johnsbury, VT 05819",rectangular rapid flashing beacon,rectangular rapid flashing beacon,1,,,,Either town or St Johnsbury Academy (unclear),,,75,Very Walkable
Caledonia,44.4162659,-72.0198826,St. Johnsbury,"1097 Main St, St Johnsbury, VT 05819",rectangular rapid flashing beacon,rectangular rapid flashing beacon,1,,,,Either town or St Johnsbury Academy (unclear),,,75,Very Walkable
Caledonia,44.4200358,-72.0124107,St. Johnsbury,"299 Bay St, St Johnsbury, VT 05819",Bay St and Passumpsic river,Multi-use trail between Bay St and Passumpsic river,3,2019,Town of St Johnsbury,,Town of St Johnsbury,,,75,Very Walkable
Chittenden,44.4560453,-73.2140906,Burlington,"800 Pine St, Burlington, VT 05401",Birchcliff Parkway and Locust St,Champlain Elementary Pedestrian Crossing Improvements,1,2019,"$504,000",BP 2013,Burlington Public Works,,,80,Very Walkable
Chittenden,44.4815365,-73.1944774,Burlington,"195 Colchester Ave, Burlington, VT 05401",East Avenue to South Prospect St,"Colchester Avenue Sidepath, phase I & II: Extension & replacement of sidepath with 10' wide concrete bike & pedestrian path on south side of Colchester Avenue",3,2020,"$378,437",BP 2015,"Burlington Public Works, CCRPC",https://www.burlingtonvt.gov/DPW/Colchester-Avenue-Sidepath,,52,Somewhat Walkable
Chittenden,44.5034088,-73.240493,Burlington,"973 North Ave, Burlington, VT 05408",North Avenue ,"5 new unsignalized crosswalks with flashing beacons at Ward Street, Killarney Drive / Village Green Drive, Poirier Place, Gosse Court, and Green Acres Drive / Cayuga Court",1,2019,,TAP 2015,"Burlington Public Works, CCRPC",,,61,Somewhat Walkable
Chittenden,44.5130167,-73.2466108,Burlington,"126 Gosse Ct, Burlington, VT 05408","Schiffiliti Park, connecting James Avenue to Gosse Court",Shared Use Path by C.P. Smith Elementary School,3,Summer 2024,"$373,160","TAP 2020 ($285,728)",,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F134,,59,Somewhat Walkable
Chittenden,44.4752675,-73.2125648,Burlington-South Burlington-Winooski,"149 Church St, Burlington, VT 05401",,"Bike-share program offering electric assist bikes around the Burlington area, operated by Bird",4,2023,,,CATMA,https://catmavt.org/bikeshare/,,96,Walker's Paradise
Chittenden,44.310489,-73.246698,Charlotte-South Burlington,"3120-3476 Ethan Allen Hwy, Charlotte, VT 05445",Rt. 7 resurfacing,"Resurfacing project including installation of bike lanes, sidewalk ramps, crosswalk improvements",3,2023,,,VTrans,Complete Streets: https://app.powerbigov.us/view?r=eyJrIjoiYWRkOTQwZjEtZjFiZi00OGMxLWI2YzYtYmUzYjBjOTRhNjQ4IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9&pageName=ReportSection,,25,Car-Dependent
Chittenden,44.5518338,-73.2465972,Colchester,"1672 W Lakeshore Dr, Colchester, VT 05446","West Lakeshore Drive, from Church Road to Prim Road","4,435 feet of 10' wide separated multi-use path ",3,2019,"$1,069,000","$897,960 in fed and state grants, inc BP and TAP",,,,9,Car-Dependent
Chittenden,44.541385,-73.182904,Colchester-Essex ,"424-420 VT-15, Colchester, VT 05446",VT Route 15 from Lime Kiln Rd to Susie Wilson Rd,"1.6 miles of 10' wide, paved, separated multi-use path, including new crosswalk near St. Michael's College",3,2022,"$1,613,885",,VTrans,https://vtrans.vermont.gov/projects/essex-colchester-path,,0,Car-Dependent
Chittenden,44.5359947,-73.2064965,Colchester-South Hero,"781 Blakely Rd, Colchester, VT 05446",Causeway,Repairs on the causeway,3,2020,$1.8 million,"$1.8 m in federal & state, inc BP",Town of Colchester,https://www.instagram.com/p/CDPAxsHHWo2/,,20,Car-Dependent
Chittenden,44.505412,-73.12459,Essex ,"70-56 Pinecrest Dr, Essex Junction, VT 05452","Pinecrest Dr, VT-2A to Suffolk Lane",Sidewalk,1,2020,"$357,770","TAP 2015 ($286,218) + BP 2020 ($86,280)",,,,28,Car-Dependent
Chittenden,44.522583,-73.070085,Essex ,"87 Towers Rd, Essex Junction, VT 05452",Towers Road,Sidewalk,1,2019,"$114,500","BP 2019 ($91,600)",,,,2,Car-Dependent
Chittenden,44.4885148,-73.1121227,Essex Junction,"34 Park St, Essex Junction, VT 05452",Park Street to Maple Street and Railroad Street,"Crescent Connector Phase II: federally-funded project to bypass 5 Corners, inc painted 4-ft bike lanes, extended bike lanes on Maple St, 2 new signalized pedestrian crossings, and new at-grade rail crossing for all road users",3,2024,,,City of Essex Junction,https://www.essexjunction.org/departments/community-development/projects,,77,Very Walkable
Chittenden,44.4956575,-73.1121788,Essex Junction,"58 Lincoln St, Essex Junction, VT 05452",Lincoln & North streets,Rapid flashing beacon  at crosswalk,1,2023,,,,,,67,Somewhat Walkable
Chittenden,44.4935926,-73.1065813,Essex Junction,"66 Main St, Essex Junction, VT 05452",Main & Pleasant streets,Rapid flashing beacon  at crosswalk,1,2021,,,Essex Jct Bike Walk Advisory Committee,,,75,Very Walkable
Chittenden,44.303545,-73.074377,Hinesburg,"10042-10206 Rte 116, Hinesburg, VT 05461",VT Rt. 116 from Commerce St to Riggs Rd,Village North sidewalk from Commerce St to Riggs Road,1,2019,,,,,,3,Car-Dependent
Chittenden,44.3261215,-73.1081064,Hinesburg,"10888 Rte 116, Hinesburg, VT 05461",VT Rt. 116 from Hinesburg Community School to Friendship Lane,Installation of new Village South sidewalk,1,2023,,BP 2016,"VTrans, Town of Hinesburg",https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=16F157,,37,Car-Dependent
Chittenden,44.3309078,-73.1103612,Hinesburg,"87 Kelleys Field Rd, Hinesburg, VT 05461
","87 Kelleys Field Rd, Hinesburg, VT 05461
","Rapid flashing beacon at crosswalk on Rt 117 by Kelley's Field, affordable living community for older adults",1,2023,,AARP Community Challenge Grant,Cathedral Square,,,43,Car-Dependent
Chittenden,44.4762767,-72.9679544,Jericho,"275 Browns Trce, Jericho, VT 05465",Browns Trace from Pratt Road to Lee River Road,Multi-modal path,3,,,,,,,9,Car-Dependent
Chittenden,44.63655,-73.110594,Milton,"42-28 Cherry St, Milton, VT 05468",Cherry St,Sidewalk,1,2021,,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,,,16,Car-Dependent
Chittenden,44.6185827,-73.12078,Milton,"47 Bombardier Rd, Milton, VT 05468",Bombardier Road from Middle Road to Town Fire Station,new sidewalk,1,2022,,,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,46,Car-Dependent
Chittenden,44.550781,-73.156943,Milton,"51-1 Middle Rd, Colchester, VT 05446","Bombadier, Herrick, Middle, Centre sidewalks ","Crosswalk safety improvements, inc ADA detectable warning strips & new striping",1,2021,,Some state funding,Town of Milton,https://storymaps.arcgis.com/stories/bd4ac2ab971d45fd8b52abe09736becc,,26,Car-Dependent
Chittenden,44.638703,-73.1031088,Milton,"104-92 Main St, Milton, VT 05468",Main St from Railroad St to East Road,Gravel Path from Railroad St to East Road,1,2020,,,Town of Milton,,,9,Car-Dependent
Chittenden,44.614145,-73.111027,Milton,"22-4 McMullen Rd, Milton, VT 05468",McMullen Road,Sidewalk improvement,1,,,BP 2013,Town of Milton,https://www.dlhce.com/project-experience-municipal-engineering,,22,Car-Dependent
Chittenden,44.6274901,-73.141866,Milton,"470 US-7, Milton, VT 05468",US7 Nancy Drive to Haydenberry Drive,Sidewalk Gaps Project: 2 miles of sidewalk filling in gaps in town's previous sidewalk infrastructure,1,2020,,,Town of Milton,,,31,Car-Dependent
Chittenden,44.3788492,-73.2283441,Shelburne,"5420 Shelburne Rd, Shelburne, VT 05482","US7, from town office to Church Street","Rapid flashing beacon at crosswalk, spearheaded by Eagle Scout",1,2019,,,,,,53,Somewhat Walkable
Chittenden,44.3700331,-73.2276009,Shelburne,"209 Marsett Rd, Shelburne, VT 05482",intersection of Marsett Rd & Maplewood Dr,New crosswalk. It's one of a number of pedestrian improvements led by community members around Shelburne Village,1,2020,,,Shelburne Village Pedestrian Safety Group,https://www.localmotion.org/projects_shelburne_village_pedestrian_safety_group,,36,Car-Dependent
Chittenden,44.4211904,-73.1982025,South Burlington,"200 Allen Rd, South Burlington, VT 05403",Allen Road between Baycrest Dr & Spear St,"800' of 10'-wide paved shared use path, closing gap in path network, inc bike boxes at Spear St traffic light",3,2021,,,"South Burlington Bike/Ped Committee, South Burlington Pennies for Paths initiative",https://www.southburlingtonvt.gov/residents/upper_allen_road_shared_use_path.php,,13,Car-Dependent
Chittenden,44.452855,-73.136792,South Burlington,"1600 Marshall Ave, Williston, VT 05495",Kimball/Marshall Avenue over Muddy Brook,"Bridge & culvert replacement project, including rec path for pedestrians & bikes",3,2021,,TAP 2020,,https://sburlstormwater.com/muddy-brook-culvert-replacement/,,21,Car-Dependent
Chittenden,44.4625356,-73.1542387,South Burlington,"25-73 Kennedy Dr, South Burlington, VT 05403",Kennedy Dr at Twin Oaks Terrace,"Crosswalk improvements, inc flashing beacons",1,2023,,"BP 2021, Pennies for Paths",South Burlington Bike/Ped Committee,,,38,Car-Dependent
Chittenden,44.4665835,-73.1680068,South Burlington,"5 Pine Tree Terrace, South Burlington, VT 05403",Williston Rd at Pine Tree Terrace/Davis Parkway & between Victory Dr & Mills Ave,2 new crosswalks with pedestrian refuges & flashing beacons,1,2023,,"BP 2021, Pennies for Paths","South Burlington, Pennies for Paths",https://www.southburlingtonvt.gov/residents/williston_road_crosswalks.php,,69,Somewhat Walkable
Chittenden,44.5323687,-72.9451525,Underhill,"451 VT-15, Underhill, VT 05489",VT Rt 15 from Dumas Rd to Park St,Sidewalk,1,2021,,BP 2013 + 2021,Town of Underhill,,,13,Car-Dependent
Chittenden,44.4531993,-73.1153157,Williston,"173-157 Blair Park Rd, Williston, VT 05495",Blair Park Road,"New sidewalk, creating a loop that connects senior housing with post office & bus stop on Rt 2",1,2021,,BP 2017,Town of Williston,,,48,Car-Dependent
Chittenden,44.4589003,-73.13031,Williston,"35 Industrial Ave, Williston, VT 05495",Intersection Rt 2 & Industrial Ave,"Intersection reconstruction, inc new sidewalk and curb on south side of ",1,2023,,,,https://vtrans.vermont.gov/projects/williston-intersection,,25,Car-Dependent
Franklin,44.8120961,-73.0837574,St. Albans City,"40 Kingman St., St Albans City, VT 05478",Kingman St,"Expanded sidewalk areas, enhanced crosswalks & ADA features. Fourth & final phase of a 10-yr downtown revitalization effort ",1,2022,,,City of St. Albans,https://www.stalbansvt.com/streetscape,,87,Very Walkable
Lamoille,44.5985037,-72.6225825,Hyde Park-Morrisville-Elmore,"344 VT-15, Hyde Park, VT 05655",Hyde Park-Morrisville-Elmore region,"The Hymor microtransit rideshare service allowing residents to schedule rides. Operated by Rural Community Transportation, supported by VTrans grant",4,2023,,,Rural Community Transportation,https://www.riderct.org/rct-microtransit,,11,Car-Dependent
Lamoille,44.4654075,-72.6849572,Stowe,"137 Main St, Stowe, VT 05672",Main St/ Rt 100,Sidewalk improvement,1,2019,,,,,,48,Car-Dependent
Orleans,44.9475235,-72.2079015,Newport,"386 Prouty Beach Rd, Newport, VT 05855",Bluffside Farm ,"1-mile ADA rec path, inc bridge crossing Scott's Cove. The trail helps connects downtown Newport with North Country Hospital, via pre-existing trails. After this connection opened, North Country Hospital became first VT hospital to be recognized as a ""Bike Friendly Businesss."" ",2,2021,$1.4 million,Many federal and state funding sources alongside local and community support,,https://bikeleague.org/wp-content/uploads/2024/05/BFB_Full_List_through_Spring-2024-1.pdf,,8,Car-Dependent
Orleans,44.5759966,-72.2952868,Greensboro,"29 East St, Greensboro, VT 05841",East St,Sidewalk,1,2021,,BP 2021,,,,25,Car-Dependent
Rutland,43.7988545,-73.0883445,Brandon,"11 Center St, Brandon, VT 05733",US 7/Center St,New and improved sidewalks/pedestrian features as part of US Rt 7 upgrade,1,2019,,,,,,53,Somewhat Walkable
Rutland,43.7986268,-73.0837526,Brandon,"48 Park St, Brandon, VT 05733",Park Street (VT Route 73),"Bike lanes added to both sides of st, as part of $1.7M upgrade inc stormwater, bioswales, wastewater, water, road & curb replacement",2,2020,one component in $1.7m project,,"Town of Brandon, Brandon Fire District No. 1, VTrans, Clean Water SRF, Drinking Water SRF",,,51,Somewhat Walkable
Rutland,43.7980498,-73.0855077,Brandon,"4 Franklin St, Brandon, VT 05733","Brandon Free Library, 4 Franklin St",2 eBikes for lending by Library & 10 bike racks around Town,4,2023,"$5,380",Town of Brandon budget; Vermont Council on Rural Development,Town of Brandon; Town of Brandon Energy Committee,https://brandonpubliclibrary.org/,,53,Somewhat Walkable
Rutland,43.6087423,-73.2079226,Castleton,"2194 Main St, Castleton, VT 05735",VT 30 & VT 4A intersection,Pedestrian improvements,1,2021,,,,,,30,Car-Dependent
Rutland,43.6096954,-72.9723531,Rutland,"40 N Main St, Rutland, VT 05701",US 7 & US 4 intersection,"Road diet, reducing 4 lanes to 2 w/ central turn lane. Reconfiguration making more space for bike lanes. Project realized as part of repaving. Plans had been explored during previous repaving in 2014, now realized w/ local and state support",2,2024 (by end of season),,,,,,88,Very Walkable
Rutland,43.6096954,-72.9723531,Rutland,"40 N Main St, Rutland, VT 05701",US 7 & US 4 intersection,"Road diet, reducing 4 lanes to 2 w/ central turn lane. Reconfiguration making more space for bike lanes. Project realized as part of repaving. Plans had been explored during previous repaving in 2014, now realized w/ local and state support",2,2024 (by end of season),,,,,,88,Very Walkable
Rutland,43.615987,-72.991202,Rutland,"2 Oak St Ext, Rutland, VT 05701","East Creek Path, Giorgetti Park to Meadow Street Park","Multi-phase project adding to existing path: 1,200 feet of path Meadow Street Playground between the playground and River Street completed in 2019. Final section, inc bridge over East Creek, currently under construction",3,2019,,,City of Rutland,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F082,,39,Car-Dependent
Rutland,43.5977388,-72.9562921,Rutland,"160 Allen St, Rutland, VT 05701",Rutland Regional Medical Center,Flashing beacons at crosswalks ,1,,,,,,,28,Car-Dependent
Rutland,43.604033,-72.9791996,Rutland,"1 Strongs Ave, Rutland, VT 05701",Strongs Avenue,"Improved sidewalks, installation of green belt as part of street redesign. This is one of many recent projects in Rutland City that are improving sidewalk quality and filling gaps in pedestrian network",1,2023,,,City of Rutland,,,82,Very Walkable
Rutland,43.6382338,-72.9625153,Rutland Town,"1612 Post Rd, Rutland, VT 05701",Rutland Town School,Extend Post Rd sidewalk from elementary school to Chasanna Dr,1,2024,,,,,,6,Car-Dependent
Washington,44.1998265,-72.5073255,Barre,"20 Gable Pl, Barre, VT 05641",,"GOPHER â€” Community Rides Vermont-run Uber-like service, where GMT cannot provide needed transportation. Rides are subsidized, or market rate similar to a taxi service. Paid drivers, using all electric vehicles.",4,2023,,,Community Rides VT,https://gophervt.org/,,78,Very Walkable
Washington,44.1602521,-72.4496838,Barre Town,"107 Mill St, East Barre, VT 05649",Jail Branch Bridge on Rt 110,"Bridge replacement w/ crosswalk, sidewalk on south side",1,2023,,,,,,24,Car-Dependent
Washington,44.2685767,-72.4888653,East Montpelier,"2764 US-2, East Montpelier, VT 05651",Rt 14 and Rt 2 intersection,"Replacement of bridge, inc sidewalk, crosswalks, and 900 ft of sidewalk extending along Rt 2 toward village",1,2019,$11 million total project,,VTrans,https://vtrans.vermont.gov/sites/aot/files/press-releases/07.01.2019%20-%20AOT%20Announces%20Completion%20of%20VT-14%20Bridge.pdf,,19,Car-Dependent
Washington,44.2600334,-72.5793259,Montpelier,"1 Taylor St, Montpelier","1 Taylor St, Montpelier","Transit Center, hub for multiple bus lines, connected with bike path and downtown infrastructure, inc. new 615' accessible sidewalk",4,2019,,,DTF 2016-17,https://express.adobe.com/page/MrXJK0TETLywR/,,81,Very Walkable
Washington,44.2592112,-72.5755301,Montpelier-Berlin,"39 Main St, Montpelier, VT 05602",Montpelier,MyRide by GMT: microtransit rideshare service allowing residents to schedule rides. Operated by Green Mountain Transit,4,2021,,,Green Mountain Transit,https://ridegmt.com/myride/,,90,Walker's Paradise
Washington,44.2384361,-72.5248326,Montpelier-Berlin," 800 Power Plant Rd, Montpelier, VT 05602","Winooski River, near Rt 2","200 foot bike/pedestrian bridge as part of Cross Vermont Trail, with plans to connect to U-32",3,2022,,,Cross Trail Vermont Association,https://www.crossvermont.org/index.php,,6,Car-Dependent
Washington,44.2777776,-72.423626,Plainfield-Marshfield,"65 Main St, Plainfield, VT 05667",John Fowler Road in Marshfield to Plainfield Park and Ride,.5 mile bike/ped trail on railbed as part of Cross Vermont Trail,3,2023,,,Cross Trail Vermont Association,https://www.crossvermont.org/about_us/gallery_newscroll.htm,,36,Car-Dependent
Washington,44.1924621,-72.8222863,Waitsfield,"4144 Main St, Waitsfield, VT 05673",Main St/Rt 100,Replacement and upgrade of sidewalk from Old County Road to Bridge St,1,2021,,,,,,44,Car-Dependent
Washington,44.3329501,-72.7513754,Waterbury,"103 S Main St, Waterbury, VT 05676",Main St/Rt 100,"Improved sidewalk and pedestrian crossings, as part of repaving project",1,2022,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=22D066,,53,Somewhat Walkable
Windham,42.8507901,-72.5777758,Brattleboro,"303 Western Ave, Brattleboro, VT 05301",Western Ave between Green St and I-91 interchange,"Bike lanes on north and south sides of Western Ave, crosswalks at Greenhill Pkwy, Speno Ct, Green St. and RRFB at Allerton Avenue",2,2023,"$36,000","BP 2022 ($18,000)",,,,54,Somewhat Walkable
Windham,42.8554406,-72.561184,Brattleboro,"230 Main St #108, Brattleboro, VT 05301",Brattleboro,"MicroMoo2:  A micro-transit service that operates like a free rideshare, with an app. Operated by Southeast Vermont Transit and supported by VTrans",4,2024,,,Southeast Vermont Transit,https://www.moover.com/moover-awarded-sustaining-grant-for-brattleboro-microtranst/,,88,Very Walkable
Windham,42.8755837,-72.57225,Brattleboro-Newfane,"333 W River Rd, Brattleboro, VT 05301",Rt. 30 between Brattleboro & Newfane,"Resurfacing, inc bike lanes, new buffered bike lanes, sidewalk upgrades, and new and repainted crosswalks",3,2023,,"VTrans ($300,000)",VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=11B322,,21,Car-Dependent
Windham,42.9780572,-72.5152487,Putney,"19 River Rd S, Putney, VT 05346",US Rt 5 from ~17 Bellows Falls Rd to Landmark College,Sidewalk from meeting house to Landmark College ,1,,,,,,,20,Car-Dependent
Windham,42.8677313,-72.8733003,Wilmington,"S Main St, Wilmington, VT 05363",South Main St,"360 linear feet of 5-foot wide concrete sidewalk with granite curb, replacing existing 4-foot wide sidewalks. Installation of 4 new pedestrian lights.",1,2019,,,DTF,https://www.dufresnegroup.com/projects/s.-main-street-sidewalk,,56,Somewhat Walkable
Windsor,43.6448805,-72.3332468,Hartford,"195 Sykes Mountain Ave, White River Junction, VT 05001",Upper Sykes Mtn Ave,Sidewalk and bike lane,3,2021,,,Town of Hartford,,,42,Car-Dependent
Windsor,43.6496267,-72.321462,Hartford,"262 N Main St, White River Junction, VT 05001",US 5,"US5 repaving w/ buffered bike lane, new sidewalk ramps, crosswalks ",3,2024,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20T298&fbclid=IwZXh0bgNhZW0CMTAAAR0k00OMAtzrTbKc5C3A9MZK7X6zsPK9aJaOKcyzYHqUHI_X6k1hleeRZ3g_aem_5zWoJPvUiMHrDfR1vp4yXg,,71,Very Walkable
Windsor,43.5409911,-72.3996185,Hartland ,"7 VT-12, Hartland, VT 05048","US5, VT12 & Quechee Road intersection","3 Corners intersection reconstructed into a 4 way intersection, including new sidewalks to improve the safety and walkability in the village.",3,2023,,,TRORC,https://www.trorc.org/wp-content/uploads/2023/11/Hartland-3-Corners-sm.pdf,,38,Car-Dependent
Windsor,43.661511,-72.342687,Upper Valley,"1587 Maple St, White River Junction, VT 05001",Upper Valley region VT & NH,"Upper Valley E-Bike Lending Library: 4 e-bikes that ""travel"" to hubs around UV so people can try them out. Sponsored through Kilton Public Library, run by Vital Communities",4,2020,,,Vital Communities,https://vitalcommunities.org/transportation/upper-valley-e-bike-lending-library/,,13,Car-Dependent
Windsor,43.2975941,-72.4846815,Springfield,100 Mineral St.,100 Mineral St.,Pedestrian safety improvements near State Office Building,1,2023,,Downtown Transportation Fund,MARPC,,,55,Somewhat Walkable
Windsor,43.2965791,-72.4814703,Springfield,"Main St, Springfield, VT 05156",North Main St.,Sidewalk improvements,1,2021,,,Town of Springfield,,,55,Somewhat Walkable
Windsor,43.8526575,-72.2575359,Thetford,"5470 VT-113, Thetford Center, VT 05075",VT 113,walking path along Rt 113,1,2020,,,,,,0,Car-Dependent
Windsor,43.8526575,-72.2575359,Thetford,"5470 VT-113, Thetford Center, VT 05075",,Trailhead,1,2020,,,,,,0,Car-Dependent
Windsor,43.477083,-72.391939,Windsor,"29 Union St, Windsor, VT 05089",Windsor,"Micro Moo by Moover: A micro-transit service that operates like a free rideshare, with an app. Operated by Southeast Vermont Transit and supported by VTrans",4,2023,,,,,,46,Car-Dependent
